"annotation_level_1" "annotation_detailed" "description" "marker_genes" "related_refs" "umap_png" "related_cell_ontology"
"Short lived IgM+ PCs" "PC" "Short lived IgM+ PCs" "Cells within this cluster express IGHM and have a typical PC markers (the 3 transcription factors PRDM1, IRF4 and XBP1, as well as phenotypic markers MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11; Nutt et al., 2015). CD9, a marker for precursor PCs (Yoon et al., 2013), can also be detected. Although relatively similar to IgM+ PC precursor, this cluster shows a global gene downregulation with the exception of few upregulated genes strongly enriched in the endoplasmic reticulum cellular component concomitantly to high IgM expression. Therefore, we conclude that this may represent a subpopulation of short lived IgM PC cells that shut down most of the cellular functions with the exception of high production of IgM which is processed through the endoplasmic reticulum." "PRDM1,IRF4,XBP1,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,IGHM,CD9,MEF2B" "Nutt2015|10.1038/nri3795;Yoon2013|10.1016/j.bbrc.2012.12.102" "pc_umap.png" NA
"IgD+ PC precursors" "PC" "IgD+ PC precursors" "Cells within this cluster express IGHD and have a typical PC markers (the 3 transcription factors PRDM1, IRF4 and XBP1, as well as phenotypic markers MZB1, SLAMF7, SSR4, CREB3L2 and FKBP11; Nutt et al., 2015). CD9, a marker for precursor PCs (Yoon et al., 2013), can be detected. Although the typical B cell-related genes (MS4A1 and PAX5, among others) are downregulated, some traces of MEF2B, a GC marker, can still be observed." "PRDM1,IRF4,XBP1,MZB1,SLAMF7,SSR4,CREB3L2,FKBP11,IGHD,MEF2B" "Nutt2015|10.1038/nri3795;Yoon2013|10.1016/j.bbrc.2012.12.102" "pc_umap.png" NA
"DC1 precursor" "Myeloid" "DC1 precursor" "DC1 corresponds to the cross-presenting conventional DC1 (cDC1, CD141+ DC, BDCA-3), which was reclassified by (Villani et al., 2017) as DC1 using scRNA-seq. This cluster is best marked by CLEC9A, and the top gene markers are: CLEC9A,IDO1, CADM1, CST3, SNX3, C1orf54, HLA-DPB1, IRF8, CCND1 and HLA-DPA1. The low levels of XCR1 together with an increased proliferation signature with respect to DC1 mature cells identify this population as a DC1 precursor (Balan et al., 2018, Villani et al., 2017)." "CLEC9A,IDO1,CADM1,CST3,SNX3,C1orf54,HLA-DPB1,IRF8,CCND1,HLA-DPA1" "Balan2018|10.1016/j.celrep.2018.07.033;Villani2017|10.1126/science.aah4573" "myeloid_umap.png" NA
"DC1 mature" "Myeloid" "DC1 mature" "This cluster had a similar profile to DC1 precursor, expressing higher levels of CLEC9A and XCR1, and acquiring a mature phenotype. DC1 mature cells had fewer cells in S or G2M phase and a decreased proliferation signature as compared to DC1 precursors (Balan et al., 2018, Villani et al., 2017)." "XCR1,CLEC9A,IDO1,CADM1,CST3,SNX3,C1orf54,HLA-DPB1,IRF8,CCND1,HLA-DPA1" "Balan2018|10.1016/j.celrep.2018.07.033;Villani2017|10.1126/science.aah4573" "myeloid_umap.png" NA
"DC2" "Myeloid" "DC2" "Conventional DC2 (cDC2, CD1C+ DC, BDCA-1) were reclassified by (Villani et al., 2017) as DC2 (expressing MHC class II genes) and DC3 (monocyte-like and inflammatory genes) using scRNA-seq. CD1C was the main marker and unique that identified both DC2 and DC3 clusters. This subpopulation expressed high levels of CD1C, CLEC10A, FCER1A, HLA-DQB1, HLA-DRB1, HLA-DQA1 and HLA-DPB1. This higher expression of MHC class II genes differentiates this population from DC3 (Villani et al., 2017)." "CD1C,CLEC10A,FCER1A,HLA-DQB1,HLA-DRB1,HLA-DQA1,HLA-DPB1" "Villani2017|10.1126/science.aah4573" "myeloid_umap.png" NA
"DC3" "Myeloid" "DC3" "Conventional DC2 (cDC2, CD1C+ DC, BDCA-1) were reclassified by (Villani et al., 2017) as DC2 (expressing MHC class II genes) and DC3 (monocyte-like and inflammatory genes) using scRNA-seq. The higher expression CD1C identified these populations as the second cluster of CD1C DC cells. This cluster expressed CD1C, CLEC10A, FCER1A, S100A8, S100A9, VCAN, LYZ and ANXA1. This inflammatory signature classified this subpopulation as a different one compared with DC2 that had more antigen presentation features (Villani et al., 2017)." "CD1C,CLEC10A,FCER1A,S100A8,S100A9,VCAN,LYZ,ANXA1" "Villani2017|10.1126/science.aah4573" "myeloid_umap.png" NA
"DC4" "Myeloid" "DC4" "DC4 corresponds to CD1C–CD141–CD11C+ DC, which is best marked by CD16 (encoded by FCGR3A) and shares signatures with monocytes. DC4 might differentiate from non-classical monocytes (CD16+). This cluster expressed FCGR3A, FTL, SIGLEC10, SERPINA1, LST1 and AIF1 and it was CD1C- (Villani et al., 2017)." "FCGR3A,FTL,SIGLEC10,SERPINA1,LST1,AIF1" "Villani2017|10.1126/science.aah4573" "myeloid_umap.png" NA
"DC5" "Myeloid" "DC5" "This cluster represents “AS DCs” (AXL+ SIGLEC6+ DCs). DC5 share marker genes with cDC and with plasmacytoid DC. This subpopulation had as top marker genes SIGLEC6, AXL, CDH1, CD22 and LILRA4 (Villani et al., 2017)." "SIGLEC6,AXL,CDH1,CD22,LILRA4" "Villani2017|10.1126/science.aah4573" "myeloid_umap.png" NA
"IL7R DC" "Myeloid" "IL7R DC" "This cluster was identified for its higher expression of IL7R and the expression of: NR4A3, CLDN1, NRARP, CLEC10A, AXL, and IL4I1. This cluster might represent pDC or DC5 precursors, but additional studies are needed to characterize this better (Rodrigues et al., 2018)." "IL7R,NR4A3,CLDN1,NRARP,CLEC10A,AXL,IL4I1" "Rodrigues2018|10.1038/s41590-018-0136-9" "myeloid_umap.png" NA
"aDC1" "Myeloid" "aDC1" "aDC1, aDC2 and aDC3 are three subtypes of CCR7+ activated DC that were recently annotated in the thymus atlas by (Park et al., 2020). aDC1 top markers were SLCO5A1, CCR7, DUSP5, LAD1, TREML1 and LAMP3. Contrary to the thymus atlas, we could not assign aDC1 to DC1." "CCR7,SLCO5A1,DUSP5,LAD1,TREML1,LAMP3" "Park2020|10.1126/science.aay3224" "myeloid_umap.png" NA
"aDC2" "Myeloid" "aDC2" "aDC1, aDC2 and aDC3 are three subtypes of CCR7+ activated DC that were recently annotated in the thymus atlas by (Park et al., 2020). aDC2 top markers were PRDM16, CCNA1, SLC16A2, S100A2, AIRE and CCL22. Contrary to the thymus atlas, we could not assign aDC2 to DC2. This cluster was composed of very few cells, and thus we could not validate it in the validation cohort. Thus, future studies with more power are needed to confirm the presence of this cluster." "CCR7,PRDM16,CCNA1,SLC16A2,S100A2,AIRE,CCL22" "Park2020|10.1126/science.aay3224" "myeloid_umap.png" NA
"aDC3" "Myeloid" "aDC3" "aDC1, aDC2 and aDC3 are three subtypes of CCR7+ activated DC that were recently annotated in the thymus atlas by (Park et al., 2020). aDC3 top markers were CCL19, MARCKSL1, FSCN1, ACTG1, SYNPO, and TMSB10. Contrary to the thymus atlas, we could not assign aDC3 to DC3." "CCR7,CCL19,MARCKSL1,FSCN1,ACTG1,SYNPO,TMSB10" "Park2020|10.1126/science.aay3224" "myeloid_umap.png" NA
"M1 Macrophages" "Myeloid" "M1 Macrophages" "This population had a higher expression of CD68 and the top gene markers are an inflammatory signature of M1 profile. This cluster has top gene markers: CCL4, IL1B, CCL3, TNF, IL6, IL1A and PTX3 (Barros et al., 2013)." "CD68,CCL4,IL1B,CCL3,TNF,IL6,IL1A,PTX3" "Barros2013|10.1371/journal.pone.0080908" "myeloid_umap.png" NA
"Monocytes" "Myeloid" "Monocytes" "This cluster was identified by its expression of CD14 and the expression of canonical genes well described for monocytes. Top markers of this cluster: VCAN, S100A9, S100A8, FCN1, S100A4 and S100A12 (Villani et al., 2017)." "CD14,VCAN,S100A9,S100A8,FCN1,S100A4,S100A12" "Villani2017|10.1126/science.aah4573" "myeloid_umap.png" NA
"Mast" "Myeloid" "Mast" "This cluster has expressions of classical markers for Mast cells KIT, TPSAB1 and TPSB2. Top markers of this cluster were: TPSAB1, TPSB2, CPA3, MS4A2, LTC4S, HPGD, HPGDS and LMO4 (Wu et al., 2022a)" "TPSAB1,TPSB2,CPA3,MS4A2,LTC4S,HPGD,HPGDS,LMO4" "Wu2022|10.1182/bloodadvances.2022006969" "myeloid_umap.png" NA
"Neutrophils" "Myeloid" "Neutrophils" "This cluster expressed specific markers previously described for neutrophils. Top gene markers: CXCL8, G0S2, PI3, CCL3L1, FCGR3B, PTGS2, and IFITM2 (Travaglini et al., 2020; Williams et al., 2021)." "CXCL8,G0S2,PI3,CCL3L1,FCGR3B,PTGS2,IFITM2" "Travaglini2020|10.1038/s41586-020-2922-4.;Williams2021|10.1016/j.cell.2021.05.013" "myeloid_umap.png" NA
"Cycling" "Myeloid" "Cycling" "This cluster is characterized by a high proliferation signature expressing CCNB2, PCNA, MKi67 and TOP2A (Bar-Joseph et al., 2008)." "CCNB2,PCNA,MKi67,TOP2A" "Bar-Joseph2008|10.1073/pnas.0704723105" "myeloid_umap.png" NA
"MMP Slan-like" "Myeloid" "MMP Slan-like" "This cluster had a profile of tonsil slan+ cells expressing higher levels of MMP9, MMP12, MMP14, HLA-DRA, HLA-DRB, CCR1, FCGR2A, ADAMDEC1 and C1QC, and intermediate levels of NECTIN2 and FUCA1 (Bianchetto-Aguilera et al., 2020). Based on GO terms, these MMP slancytes could play a role in antigen presentation, activation and matrix remodeling (Hofer et al., 2015)." "MMP9,MMP12,MMP14,HLA-DRA,HLA-DRB,CCR1,FCGR2A,ADAMDEC1,C1QA,C1QB,C1QC" "Bianchetto-Aguilera2020|10.1096/fj.202000181R;Hofer2015|10.1182/blood-2015-06-651331" "myeloid_umap.png" NA
"C1Q Slan-like" "Myeloid" "C1Q Slan-like" "This cluster had higher levels of tonsil slan+ cells such as C1QC, APOE, and MMP9, and intermediate levels of FUCA1, APOC1 and ADAMDEC1. This cluster had a profile to respond to classical complement activation with higher expression of C1Q family genes: C1QC, C1QB and C1QA. Also, This cluster had a higher expression of MHC class II genes HLA-DQA1, HLA-DRA, HLA-DRB1, HLA-DPA1 and HLA-DPB1, demonstrating their potential role in antigen presentation (Bianchetto‐Aguilera et al., 2020)." "C1QC,C1QB,C1QA,HLA-DQA1,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1" "Bianchetto-Aguilera2020|10.1096/fj.202000181R" "myeloid_umap.png" NA
"SELENOP Slan-like" "Myeloid" "SELENOP Slan-like" "These SELENOP slan-like expressed a tonsil slan+ cell signature with high levels of SELENOP, FOLR2, PTGDS, FUCA1, APOE, and APOC1. This cluster expressed higher levels of CCL18 suggesting it can be involved in the recruitment of MMP slan-like via CCL18-CCR1 axis. This cluster had an OXPHOS related signature pointing out their possible metabolic role in tonsils (Bianchetto‐Aguilera et al., 2020)." "SELENOP,FOLR2,PTGDS,FUCA1,APOE,APOC1" "Bianchetto-Aguilera2020|10.1096/fj.202000181R" "myeloid_umap.png" NA
"ITGAX Slan-like" "Myeloid" "ITGAX Slan-like" "This cluster expressed tonsil slan+ cell markers: FUCA1, NR1H3, and APOE. This cluster has an inflammatory signature expressing ITGAX, ZEB2, IL6R and IL18. It also expressed MAF, MAFB, and MAFG (Bianchetto‐Aguilera et al., 2020)." "ITGAX,ZEB2,IL6R,IL18,JAK3,STAT2,MAF,MAFB,MAFG" "Bianchetto-Aguilera2020|10.1096/fj.202000181R" "myeloid_umap.png" NA
"Basal cells" "Epithelial" "Basal cells" "This cluster represents the basal layer of the squamous epithelium, characterized by the expression of the basal cytokeratins KRT5 and KRT14 (Williams et al., 2021)." "KRT5,KRT14,S100A2" "Williams2021|10.1016/j.cell.2021.05.013" "epithelial_umap.png" NA
"Surface keratinocytes" "Epithelial" "Surface keratinocytes" "Cells in this cluster represent the main bulk of the surface epithelium with expression of several cytokeratins (KRT4, KRT13, KRT78, KRT80), SPRR3, TMPRSS11B and TMPRSS2 (Williams et al., 2021)." "KRT4,KRT13,KRT78,KRT80,SPRR3,TMPRSS11B,TMPRSS2" "Williams2021|10.1016/j.cell.2021.05.013" "epithelial_umap.png" NA
"VEGFA+" "Epithelial" "VEGFA+" "Cells in this cluster express VEGFA, which has been shown to be expressed by subsets of epithelial cells in other organs (Ellis et al., 2020)." "VEGFA,MIR205HG,PAX1" "Ellis2020|10.1016/j.devcel.2020.01.009" "epithelial_umap.png" NA
"Outer surface" "Epithelial" "Outer surface" "These cells express several genes associated with cornification/keratinization like CNFN and SPRR2 genes and represent the outermost layer of the surface epithelium (Williams et al., 2021)." "LCE3A,LCE3D,LCE3E,SPRR2D,SPRR2E,CNFN" "Williams2021|10.1016/j.cell.2021.05.013" "epithelial_umap.png" NA
"FDCSP epithelium" "Epithelial" "FDCSP epithelium" "This cluster is characterized by the high expression of KRTDAP, CALML5, and FDCSP. FDCSP was discovered in 2002 as a marker highly specific to follicular dendritic cells (Marshall et al., 2002). In the same article, the authors reported a FDCSP-expressing population of leukocyte-infiltrated tonsil crypts. This cluster might reflect this cell type. Of note, the oral mucosa cell atlas also reported a population of FDCSP-expressing epithelial cells (Williams et al., 2021)." "FDCSP,KRTDAP,CALML5" "Marshall2002|10.4049/jimmunol.169.5.2381;Williams2021|10.1016/j.cell.2021.05.013" "epithelial_umap.png" NA
"Crypt" "Epithelial" "Crypt" "Cells in this cluster express KRT8 and genes involved in inflammatory responses (IL1B, IFI27) and represent the epithelial crypts of the tonsils. Also in these clusters are cells which express SPIB and MARCKSL1, two genes associated with microfold cells (M cells) (Kobayashi et al., 2019)." "KRT8,IL1B,IFI27,SPIB,MARCKSL1" "Kobayashi2019|10.3389/fimmu.2019.02345" "epithelial_umap.png" NA
"FDC" "FDC" "FDC" "This is the main cluster of follicular dendritic cells, with high expression of the classical FDC markers FDCSP, CLU, CR2, and CXCL13 (Heesters et al., 2021)." "FDCSP,CLU,CR2,CXCL13" "Heesters2021|10.1084/jem.20210790" "fdc_umap.png" NA
"CD14+ CD55+ FDC" "FDC" "CD14+ CD55+ FDC" "This cluster, besides high expression levels of FDCSP, CLU and CXCL13, additionally expresses CD14 and CD55. CD14 expression in FDC is described in the literature as an independent predictor of transformation in follicular lymphoma (Smeltzer et al., 2014)." "FDCSP,CLU,CR2,CXCL13,CD14,CD55" "Smeltzer2014|10.1158/1078-0432.CCR-13-2367" "fdc_umap.png" NA
"COL27A1+ FDC" "FDC" "COL27A1+ FDC" "Cells in this cluster show lower expression levels of FDCSP, CLU, CR2, and CXCL13 compared to the main FDC cluster and high expression of COL27A1 (Rodda et al., 2018)." "FDCSP,CLU,CR2,CXCL13,COL27A1" "Rodda2018|10.1016/j.immuni.2018.04.006" "fdc_umap.png" NA
"FRC" "FDC" "FRC" "This cluster expresses CCL20, PERP, S100A2 and S100A9 markers associated with fibroblastic reticular cells (Rodda et al., 2018; Heesters et al., 2021)." "CCL20,PERP,S100A2,S100A9" "Rodda2018|10.1016/j.immuni.2018.04.006;Heesters2021|10.1084/jem.20210790" "fdc_umap.png" NA
"MRC" "FDC" "MRC" "Cells in this cluster express several collagen genes (COL1A1, COL1A2, COL3A1, COL5A2, COL6A3, COL12A1), as well as DCN and PDGFRB. This cluster was annotated as marginal reticular cells according to recently published literature. Based on PDGFRB expression at least part of these cells might represent perivascular precursors, as described in the literature in murine models (Jiang et al., 2021; Heesters et al., 2021)." "DCN,PDGFRB,COL1A1,COL1A2,COL3A1,COL5A2,COL6A3,COL12A1" "Jiang2021|10.3389/fimmu.2021.730438;Heesters2021|10.1084/jem.20210790" "fdc_umap.png" NA
"unknown" "FDC" "unknown" "Cells in this cluster had as markers several genes from the KLF family (KLF2/4/6) as well as other markers such as EGR1, DUSP1, ZFP36, NFKBIZ, SELE, VMP1, ADAMTSL4-AS1, AC020916.1, AC007952.4. However, this cluster also showed as markers distinct stress signature responses such as FOS, JUN or NEAT1 and hence we did not know whether to exclude this cluster as it may be composed of poor-quality cells. Additional studies are needed to make sense of the identity of this cluster." "KLF2,KLF4,KLF6,EGR1,DUSP1,ZFP36,FOS,JUN" NA "fdc_umap.png" NA
"Cycling FDC" "FDC" "Cycling FDC" "This a cluster of follicular dendritic cells, with high expression of the classical FDC markers and a specific gene signature of cycling. The top expressed genes are: HIST1H4C, HMGB2, STMN1, H2AFZ, HMGB1, HMGN2, NUSAP1, TUBA1B and PTTG1. As we observed that the proliferative signature was a major driver of variance in scRNA-seq data, which caused (1) cells from different lineages to cluster together and (2) hindered biological heterogeneity in the other cluster, we show this population in Figure 1B, but exclude it from downstream analysis (Bar-Joseph et al., 2008)." "FDCSP,CLU,CR2,HIST1H4C,HMGB2,STMN1,H2AFZ,HMGB1,HMGN2,NUSAP1,TUBA1B,PTTG1" "Bar-Joseph2008|10.1073/pnas.0704723105" "fdc_umap.png" NA
